 >TARREC   rectangular prism; AX,AY,AZ= 32.0000 64.0000 64.0000
    131072 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -32.50000 -32.50000 -32.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    769   1  25   1 1 1 1
    770   2  25   1 1 1 1
    771   3  25   1 1 1 1
    772   4  25   1 1 1 1
    773   5  25   1 1 1 1
    774   6  25   1 1 1 1
    775   7  25   1 1 1 1
    776   8  25   1 1 1 1
    777   9  25   1 1 1 1
    778  10  25   1 1 1 1
    779  11  25   1 1 1 1
    780  12  25   1 1 1 1
    781  13  25   1 1 1 1
    782  14  25   1 1 1 1
    783  15  25   1 1 1 1
    784  16  25   1 1 1 1
    785  17  25   1 1 1 1
    786  18  25   1 1 1 1
    787  19  25   1 1 1 1
    788  20  25   1 1 1 1
    789  21  25   1 1 1 1
    790  22  25   1 1 1 1
    791  23  25   1 1 1 1
    792  24  25   1 1 1 1
    793  25  25   1 1 1 1
    794  26  25   1 1 1 1
    795  27  25   1 1 1 1
    796  28  25   1 1 1 1
    797  29  25   1 1 1 1
    798  30  25   1 1 1 1
    799  31  25   1 1 1 1
    800  32  25   1 1 1 1
    801   1  26   1 1 1 1
    802   2  26   1 1 1 1
    803   3  26   1 1 1 1
    804   4  26   1 1 1 1
    805   5  26   1 1 1 1
    806   6  26   1 1 1 1
    807   7  26   1 1 1 1
    808   8  26   1 1 1 1
    809   9  26   1 1 1 1
    810  10  26   1 1 1 1
    811  11  26   1 1 1 1
    812  12  26   1 1 1 1
    813  13  26   1 1 1 1
    814  14  26   1 1 1 1
    815  15  26   1 1 1 1
    816  16  26   1 1 1 1
    817  17  26   1 1 1 1
    818  18  26   1 1 1 1
    819  19  26   1 1 1 1
    820  20  26   1 1 1 1
    821  21  26   1 1 1 1
    822  22  26   1 1 1 1
    823  23  26   1 1 1 1
    824  24  26   1 1 1 1
    825  25  26   1 1 1 1
    826  26  26   1 1 1 1
    827  27  26   1 1 1 1
    828  28  26   1 1 1 1
    829  29  26   1 1 1 1
    830  30  26   1 1 1 1
    831  31  26   1 1 1 1
    832  32  26   1 1 1 1
    833   1  27   1 1 1 1
    834   2  27   1 1 1 1
    835   3  27   1 1 1 1
    836   4  27   1 1 1 1
    837   5  27   1 1 1 1
    838   6  27   1 1 1 1
    839   7  27   1 1 1 1
    840   8  27   1 1 1 1
    841   9  27   1 1 1 1
    842  10  27   1 1 1 1
    843  11  27   1 1 1 1
    844  12  27   1 1 1 1
    845  13  27   1 1 1 1
    846  14  27   1 1 1 1
    847  15  27   1 1 1 1
    848  16  27   1 1 1 1
    849  17  27   1 1 1 1
    850  18  27   1 1 1 1
    851  19  27   1 1 1 1
    852  20  27   1 1 1 1
    853  21  27   1 1 1 1
    854  22  27   1 1 1 1
    855  23  27   1 1 1 1
    856  24  27   1 1 1 1
    857  25  27   1 1 1 1
    858  26  27   1 1 1 1
    859  27  27   1 1 1 1
    860  28  27   1 1 1 1
    861  29  27   1 1 1 1
    862  30  27   1 1 1 1
    863  31  27   1 1 1 1
    864  32  27   1 1 1 1
    865   1  28   1 1 1 1
    866   2  28   1 1 1 1
    867   3  28   1 1 1 1
    868   4  28   1 1 1 1
    869   5  28   1 1 1 1
    870   6  28   1 1 1 1
    871   7  28   1 1 1 1
    872   8  28   1 1 1 1
    873   9  28   1 1 1 1
