 >TARNAS multisphere target composed of  16 spheres, DIAMX= 48.0000
    546  16 -18 -27 1 1 1
    547  17 -18 -27 1 1 1
    548  18 -18 -27 1 1 1
    549  19 -18 -27 1 1 1
    550  20 -18 -27 1 1 1
    551  21 -18 -27 1 1 1
    552  22 -18 -27 1 1 1
    553   8 -17 -27 1 1 1
    554   9 -17 -27 1 1 1
    555  10 -17 -27 1 1 1
    556  11 -17 -27 1 1 1
    557  12 -17 -27 1 1 1
    558  13 -17 -27 1 1 1
    559  14 -17 -27 1 1 1
    560  15 -17 -27 1 1 1
    561  16 -17 -27 1 1 1
    562  17 -17 -27 1 1 1
    563  18 -17 -27 1 1 1
    564  19 -17 -27 1 1 1
    565  20 -17 -27 1 1 1
    566  21 -17 -27 1 1 1
    567  22 -17 -27 1 1 1
    568   8 -16 -27 1 1 1
    569   9 -16 -27 1 1 1
    570  10 -16 -27 1 1 1
    571  11 -16 -27 1 1 1
    572  12 -16 -27 1 1 1
    573  13 -16 -27 1 1 1
    574  14 -16 -27 1 1 1
    575  15 -16 -27 1 1 1
    576  16 -16 -27 1 1 1
    577  17 -16 -27 1 1 1
    578  18 -16 -27 1 1 1
    579  19 -16 -27 1 1 1
    580  20 -16 -27 1 1 1
    581  21 -16 -27 1 1 1
    582  22 -16 -27 1 1 1
    583   8 -15 -27 1 1 1
    584   9 -15 -27 1 1 1
    585  10 -15 -27 1 1 1
    586  11 -15 -27 1 1 1
    587  12 -15 -27 1 1 1
    588  13 -15 -27 1 1 1
    589  14 -15 -27 1 1 1
    590  15 -15 -27 1 1 1
    591  16 -15 -27 1 1 1
    592  17 -15 -27 1 1 1
    593  18 -15 -27 1 1 1
    594  19 -15 -27 1 1 1
    595  20 -15 -27 1 1 1
    596  21 -15 -27 1 1 1
    597  22 -15 -27 1 1 1
    598   8 -14 -27 1 1 1
    599   9 -14 -27 1 1 1
    600  10 -14 -27 1 1 1
    601  11 -14 -27 1 1 1
    602  12 -14 -27 1 1 1
    603  13 -14 -27 1 1 1
    604  14 -14 -27 1 1 1
    605  15 -14 -27 1 1 1
    606  16 -14 -27 1 1 1
    607  17 -14 -27 1 1 1
    608  18 -14 -27 1 1 1
    609  19 -14 -27 1 1 1
    610  20 -14 -27 1 1 1
    611  21 -14 -27 1 1 1
    612  22 -14 -27 1 1 1
    613   9 -13 -27 1 1 1
    614  10 -13 -27 1 1 1
    615  11 -13 -27 1 1 1
    616  12 -13 -27 1 1 1
    617  13 -13 -27 1 1 1
    618  14 -13 -27 1 1 1
    619  15 -13 -27 1 1 1
    620  16 -13 -27 1 1 1
    621  17 -13 -27 1 1 1
    622  18 -13 -27 1 1 1
    623  19 -13 -27 1 1 1
    624  20 -13 -27 1 1 1
    625  21 -13 -27 1 1 1
    626   9 -12 -27 1 1 1
    627  10 -12 -27 1 1 1
    628  11 -12 -27 1 1 1
    629  12 -12 -27 1 1 1
    630  13 -12 -27 1 1 1
    631  14 -12 -27 1 1 1
    632  15 -12 -27 1 1 1
    633  16 -12 -27 1 1 1
    634  17 -12 -27 1 1 1
    635  18 -12 -27 1 1 1
    636  19 -12 -27 1 1 1
    637  20 -12 -27 1 1 1
    638  21 -12 -27 1 1 1
    639  10 -11 -27 1 1 1
    640  11 -11 -27 1 1 1
    641  12 -11 -27 1 1 1
    642  13 -11 -27 1 1 1
    643  14 -11 -27 1 1 1
    644  15 -11 -27 1 1 1
    645  16 -11 -27 1 1 1
    646  17 -11 -27 1 1 1
    647  18 -11 -27 1 1 1
    648  19 -11 -27 1 1 1
    649  20 -11 -27 1 1 1
    650  11 -10 -27 1 1 1
    651  12 -10 -27 1 1 1
    652  13 -10 -27 1 1 1
    653  14 -10 -27 1 1 1
    654  15 -10 -27 1 1 1
    655  16 -10 -27 1 1 1
    656  17 -10 -27 1 1 1
    657  18 -10 -27 1 1 1
    658  14  -9 -27 1 1 1
    659  15  -9 -27 1 1 1
    660  16  -9 -27 1 1 1
    661  21  -4 -27 2 1 1
    662  22  -4 -27 2 1 1
    663  21  -3 -27 2 1 1
    664  22  -3 -27 2 1 1
    665  23  -3 -27 2 1 1
    666  21  -2 -27 2 1 1
    667  22  -2 -27 2 1 1
    668  23  -2 -27 2 1 1
    669  21  -1 -27 2 1 1
    670  22  -1 -27 2 1 1
    671  12 -24 -26 1 1 1
    672  13 -24 -26 1 1 1
    673  14 -24 -26 1 1 1
    674  15 -24 -26 1 1 1
    675  16 -24 -26 1 1 1
    676  17 -24 -26 1 1 1
    677  11 -23 -26 1 1 1
    678  12 -23 -26 1 1 1
    679  13 -23 -26 1 1 1
    680  14 -23 -26 1 1 1
    681  15 -23 -26 1 1 1
    682  16 -23 -26 1 1 1
    683  17 -23 -26 1 1 1
    684  18 -23 -26 1 1 1
    685  19 -23 -26 1 1 1
    686   9 -22 -26 1 1 1
    687  10 -22 -26 1 1 1
    688  11 -22 -26 1 1 1
    689  12 -22 -26 1 1 1
    690  13 -22 -26 1 1 1
    691  14 -22 -26 1 1 1
    692  15 -22 -26 1 1 1
    693  16 -22 -26 1 1 1
    694  17 -22 -26 1 1 1
    695  18 -22 -26 1 1 1
    696  19 -22 -26 1 1 1
    697  20 -22 -26 1 1 1
    698   9 -21 -26 1 1 1
    699  10 -21 -26 1 1 1
    700  11 -21 -26 1 1 1
    701  12 -21 -26 1 1 1
    702  13 -21 -26 1 1 1
    703  14 -21 -26 1 1 1
    704  15 -21 -26 1 1 1
    705  16 -21 -26 1 1 1
    706  17 -21 -26 1 1 1
    707  18 -21 -26 1 1 1
    708  19 -21 -26 1 1 1
    709  20 -21 -26 1 1 1
    710  21 -21 -26 1 1 1
    711   8 -20 -26 1 1 1
    712   9 -20 -26 1 1 1
    713  10 -20 -26 1 1 1
    714  11 -20 -26 1 1 1
    715  12 -20 -26 1 1 1
    716  13 -20 -26 1 1 1
    717  14 -20 -26 1 1 1
    718  15 -20 -26 1 1 1
    719  16 -20 -26 1 1 1
    720  17 -20 -26 1 1 1
    721  18 -20 -26 1 1 1
    722  19 -20 -26 1 1 1
    723  20 -20 -26 1 1 1
    724  21 -20 -26 1 1 1
    725  22 -20 -26 1 1 1
    726   8 -19 -26 1 1 1
    727   9 -19 -26 1 1 1
    728  10 -19 -26 1 1 1
    729  11 -19 -26 1 1 1
    730  12 -19 -26 1 1 1
    731  13 -19 -26 1 1 1
    732  14 -19 -26 1 1 1
    733  15 -19 -26 1 1 1
    734  16 -19 -26 1 1 1
    735  17 -19 -26 1 1 1
    736  18 -19 -26 1 1 1
    737  19 -19 -26 1 1 1
    738  20 -19 -26 1 1 1
    739  21 -19 -26 1 1 1
    740  22 -19 -26 1 1 1
    741   7 -18 -26 1 1 1
    742   8 -18 -26 1 1 1
    743   9 -18 -26 1 1 1
    744  10 -18 -26 1 1 1
    745  11 -18 -26 1 1 1
    746  12 -18 -26 1 1 1
    747  13 -18 -26 1 1 1
    748  14 -18 -26 1 1 1
    749  15 -18 -26 1 1 1
    750  16 -18 -26 1 1 1
    751  17 -18 -26 1 1 1
    752  18 -18 -26 1 1 1
    753  19 -18 -26 1 1 1
    754  20 -18 -26 1 1 1
    755  21 -18 -26 1 1 1
    756  22 -18 -26 1 1 1
    757   7 -17 -26 1 1 1
    758   8 -17 -26 1 1 1
    759   9 -17 -26 1 1 1
    760  10 -17 -26 1 1 1
    761  11 -17 -26 1 1 1
    762  12 -17 -26 1 1 1
    763  13 -17 -26 1 1 1
    764  14 -17 -26 1 1 1
    765  15 -17 -26 1 1 1
    766  16 -17 -26 1 1 1
    767  17 -17 -26 1 1 1
    768  18 -17 -26 1 1 1
    769  19 -17 -26 1 1 1
    770  20 -17 -26 1 1 1
    771  21 -17 -26 1 1 1
    772  22 -17 -26 1 1 1
    773   7 -16 -26 1 1 1
    774   8 -16 -26 1 1 1
    775   9 -16 -26 1 1 1
    776  10 -16 -26 1 1 1
    777  11 -16 -26 1 1 1
    778  12 -16 -26 1 1 1
    779  13 -16 -26 1 1 1
    780  14 -16 -26 1 1 1
    781  15 -16 -26 1 1 1
    782  16 -16 -26 1 1 1
    783  17 -16 -26 1 1 1
    784  18 -16 -26 1 1 1
    785  19 -16 -26 1 1 1
    786  20 -16 -26 1 1 1
    787  21 -16 -26 1 1 1
    788  22 -16 -26 1 1 1
    789   8 -15 -26 1 1 1
    790   9 -15 -26 1 1 1
    791  10 -15 -26 1 1 1
    792  11 -15 -26 1 1 1
    793  12 -15 -26 1 1 1
    794  13 -15 -26 1 1 1
    795  14 -15 -26 1 1 1
    796  15 -15 -26 1 1 1
    797  16 -15 -26 1 1 1
    798  17 -15 -26 1 1 1
    799  18 -15 -26 1 1 1
    800  19 -15 -26 1 1 1
    801  20 -15 -26 1 1 1
    802  21 -15 -26 1 1 1
    803  22 -15 -26 1 1 1
